Protein Group,Protein ID,Accession,Significance,-10lgP,Si5B-Heavy-Hypoxia : Heavy_Area,Si5B-Heavy-Hypoxia : Light_Area,SiCTL-Heavy-Hypoxia : Heavy_Area,SiCTL-Heavy-Hypoxia : Light_Area,SiCTL-Heavy-Normoxia : Heavy_Area,SiCTL-Heavy-Normoxia : Light_Area,Ratio Si5B-Heavy-Hypoxia : Heavy,Ratio Si5B-Heavy-Hypoxia : Light,Ratio SiCTL-Heavy-Hypoxia : Heavy,Ratio SiCTL-Heavy-Hypoxia : Light,Ratio SiCTL-Heavy-Normoxia : Heavy,Ratio SiCTL-Heavy-Normoxia : Light,Group 1(Si5B-Heavy-Hypoxia : Heavy; Si5B-Heavy-Hypoxia : Light)_Area,Group 3(SiCTL-Heavy-Hypoxia : Heavy; SiCTL-Heavy-Hypoxia : Light)_Area,Group 5(SiCTL-Heavy-Normoxia : Heavy; SiCTL-Heavy-Normoxia : Light)_Area,Ratio Group 1(Si5B-Heavy-Hypoxia : Heavy; Si5B-Heavy-Hypoxia : Light),Ratio Group 3(SiCTL-Heavy-Hypoxia : Heavy; SiCTL-Heavy-Hypoxia : Light),Ratio Group 5(SiCTL-Heavy-Normoxia : Heavy; SiCTL-Heavy-Normoxia : Light),Max Ratio,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description,pSILAC H/N ratio,pSILAC Si5B/CTL Hyp ratio,Total H/N ratio,Total Si5B/CTL Hyp ratio,Accession,Gene Name,Species
968,11844,sp|P50914|RL14_HUMAN,1.61,129.01,1.23E+07,5.98E+07,3.52E+06,4.09E+07,1.69E+07,6.55E+07,1,4.89,0.29,3.34,1.38,5.35,3.61E+07,2.22E+07,4.12E+07,1,0.62,1.14,1.85,35,12,12,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,23432,60S ribosomal protein L14 OS=Homo sapiens GN=RPL14 PE=1 SV=4,0.21,3.48,0.54,1.62,P50914,RL14,HUMAN
457,11973,sp|Q07020|RL18_HUMAN,2.03,151.96,3.42E+07,2.22E+08,1.14E+07,1.34E+08,6.05E+07,2.06E+08,1,6.5,0.33,3.9,1.77,6.03,1.28E+08,7.25E+07,1.33E+08,1,0.56,1.04,1.84,50,14,14,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,21634,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=2,0.19,3.01,0.54,1.77,Q07020,RL18,HUMAN
344,12026,sp|P35268|RL22_HUMAN,0.42,132.12,1.70E+07,1.14E+08,8.42E+06,1.13E+08,3.37E+07,1.10E+08,1,6.7,0.5,6.68,1.98,6.45,6.54E+07,6.09E+07,7.16E+07,1,0.93,1.09,1.17,51,8,7,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,14787,60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2,0.25,2.01,0.85,1.07,P35268,RL22,HUMAN
587,12416,sp|Q6P5R6|RL22L_HUMAN,1.05,116.41,1.59E+08,1.14E+08,3.45E+07,1.74E+08,6.82E+07,1.19E+08,1,0.72,0.22,1.1,0.43,0.75,1.36E+08,1.04E+08,9.36E+07,1,0.77,0.69,1.46,41,5,4,Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,14607,60S ribosomal protein L22-like 1 OS=Homo sapiens GN=RPL22L1 PE=1 SV=2,0.51,4.60,1.11,1.31,Q6P5R6,RL22L,HUMAN
693,12203,sp|P61353|RL27_HUMAN,1.99,105.13,3.13E+07,1.41E+08,6.55E+06,8.76E+07,3.15E+07,1.03E+08,1,4.49,0.21,2.8,1.01,3.28,8.59E+07,4.71E+07,6.70E+07,1,0.55,0.78,1.82,61,11,11,Oxidation (M); Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,15798,60S ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2,0.21,4.78,0.70,1.82,P61353,RL27,HUMAN
700,12178,sp|P49207|RL34_HUMAN,2.87,117.3,4.22E+06,2.29E+07,1.01E+06,8.25E+06,6.39E+06,2.19E+07,1,5.42,0.24,1.96,1.51,5.18,1.35E+07,4.63E+06,1.41E+07,1,0.34,1.04,3.05,58,14,14,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,13293,60S ribosomal protein L34 OS=Homo sapiens GN=RPL34 PE=1 SV=3,0.16,4.16,0.33,2.92,P49207,RL34,HUMAN
949,12318,sp|P42766|RL35_HUMAN,2.04,113.65,8.34E+06,4.29E+07,3.73E+06,3.06E+07,5.95E+06,1.72E+07,1,5.15,0.45,3.67,0.71,2.07,2.56E+07,1.72E+07,1.16E+07,1,0.67,0.45,2.21,42,10,10,Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,14551,60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2,0.63,2.24,1.48,1.49,P42766,RL35,HUMAN
551,11867,sp|Q9Y3U8|RL36_HUMAN,0.7,132.73,2.74E+07,1.04E+08,1.27E+07,1.13E+08,3.71E+07,1.26E+08,1,3.77,0.46,4.13,1.35,4.58,6.54E+07,6.29E+07,8.13E+07,1,0.96,1.24,1.29,53,14,14,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,12254,60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3,0.34,2.16,0.77,1.04,Q9Y3U8,RL36,HUMAN
315,11175,sp|Q02952|AKA12_HUMAN,4.33,178.5,1.62E+08,1.93E+08,2.88E+07,1.54E+08,1.62E+07,8.76E+07,1,1.19,0.18,0.95,0.1,0.54,1.78E+08,9.12E+07,5.19E+07,1,0.51,0.29,3.42,31,31,31,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,191480,A-kinase anchor protein 12 OS=Homo sapiens GN=AKAP12 PE=1 SV=4,1.77,5.64,1.76,1.95,Q02952,AKA12,HUMAN
255,11257,sp|Q9Y2D5|AKAP2_HUMAN,1.56,202.34,7.58E+07,1.61E+08,3.23E+07,1.21E+08,5.27E+07,8.44E+07,1,2.12,0.43,1.6,0.7,1.11,1.18E+08,7.67E+07,6.86E+07,1,0.65,0.58,1.73,40,25,25,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,94661,A-kinase anchor protein 2 OS=Homo sapiens GN=AKAP2 PE=1 SV=3,0.61,2.35,1.12,1.54,Q9Y2D5,AKAP2,HUMAN
815,11719,sp|O43823|AKAP8_HUMAN,3.05,115.35,1.29E+08,1.86E+07,1.54E+06,1.62E+07,5.32E+06,1.27E+07,1,0.14,0.01,0.13,0.04,0.1,7.40E+07,8.88E+06,9.01E+06,1,0.12,0.12,8.33,31,9,9,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(4) Silac label,76108,A-kinase anchor protein 8 OS=Homo sapiens GN=AKAP8 PE=1 SV=1,0.29,84.02,0.99,8.33,O43823,AKAP8,HUMAN
1237,12623,sp|Q9NYB9|ABI2_HUMAN,1.56,97.41,7.68E+05,2.00E+06,1.40E+05,1.36E+06,2.51E+06,3.35E+06,1,2.61,0.18,1.77,3.27,4.36,1.39E+06,7.51E+05,2.93E+06,1,0.54,2.12,3.9,6,7,2,,55663,Abl interactor 2 OS=Homo sapiens GN=ABI2 PE=1 SV=1,0.06,5.49,0.26,1.84,Q9NYB9,ABI2,HUMAN
1662,12255,sp|Q96K21|ANCHR_HUMAN,2.71,90.95,2.61E+06,7.41E+06,6.34E+05,2.51E+06,3.80E+06,6.36E+06,1,2.84,0.24,0.96,1.45,2.43,5.01E+06,1.57E+06,5.08E+06,1,0.31,1.01,3.23,18,7,7,Carbamidomethylation; 13C(6) 15N(4) Silac label,51546,Abscission/NoCut checkpoint regulator OS=Homo sapiens GN=ZFYVE19 PE=1 SV=3,0.17,4.12,0.31,3.19,Q96K21,ANCHR,HUMAN
683,11299,sp|Q9Y4K1|AIM1_HUMAN,2.77,153.71,1.69E+07,5.15E+07,6.40E+06,2.07E+07,2.71E+07,3.70E+07,1,3.05,0.38,1.23,1.61,2.19,3.42E+07,1.35E+07,3.20E+07,1,0.4,0.94,2.52,17,21,21,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,188675,Absent in melanoma 1 protein OS=Homo sapiens GN=AIM1 PE=1 SV=3,0.24,2.63,0.42,2.52,Q9Y4K1,AIM1,HUMAN
2311,13242,sp|Q9NZ32|ARP10_HUMAN,1.65,53.67,3.95E+05,3.52E+06,1.50E+05,8.30E+05,1.93E+06,6.88E+05,1,8.92,0.38,2.1,4.88,1.74,1.96E+06,4.90E+05,1.31E+06,1,0.25,0.67,4,5,2,2,Carbamidomethylation; 13C(6) 15N(2) Silac label,46307,Actin-related protein 10 OS=Homo sapiens GN=ACTR10 PE=1 SV=1,0.08,2.63,0.37,4.00,Q9NZ32,ARP10,HUMAN
263,11506,sp|P61160|ARP2_HUMAN,3.8,193.7,2.91E+08,3.04E+08,3.65E+07,1.72E+08,7.24E+07,1.51E+08,1,1.04,0.13,0.59,0.25,0.52,2.97E+08,1.04E+08,1.12E+08,1,0.35,0.38,2.85,39,14,14,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,44761,Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1,0.50,7.97,0.94,2.85,P61160,ARP2,HUMAN
1731,12442,sp|O15144|ARPC2_HUMAN,7.31,79.71,3.22E+06,1.22E+07,1.54E+04,9.99E+04,2.21E+06,6.67E+06,1,3.8,0,0.03,0.68,2.07,7.73E+06,5.77E+04,4.44E+06,1,0.01,0.57,134.07,18,5,5,Carbamidomethylation; 13C(6) 15N(4) Silac label,34333,Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1,0.01,209.21,0.01,134.11,O15144,ARPC2,HUMAN
1304,12545,sp|O15511|ARPC5_HUMAN,3.27,99.89,3.53E+07,2.01E+07,3.17E+06,1.24E+07,3.88E+06,7.34E+06,1,0.57,0.09,0.35,0.11,0.21,2.77E+07,7.79E+06,5.61E+06,1,0.28,0.2,4.94,70,6,5,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,16320,Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3,0.82,11.16,1.39,3.56,O15511,ARPC5,HUMAN
697,11927,sp|O95433|AHSA1_HUMAN,0.46,136.94,3.02E+07,5.38E+07,1.14E+07,6.53E+07,3.26E+07,6.01E+07,1,1.78,0.38,2.16,1.08,1.99,4.20E+07,3.83E+07,4.63E+07,1,0.91,1.1,1.21,24,11,11,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,38274,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1,0.35,2.65,0.83,1.10,O95433,AHSA1,HUMAN
2061,12785,sp|Q9H2P0|ADNP_HUMAN,3.29,60.92,2.29E+06,6.30E+06,7.18E+05,1.03E+06,1.42E+06,9.12E+05,1,2.75,0.31,0.45,0.62,0.4,4.29E+06,8.72E+05,1.17E+06,1,0.2,0.27,4.92,5,3,3,Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,123563,Activity-dependent neuroprotector homeobox protein OS=Homo sapiens GN=ADNP PE=1 SV=1,0.51,3.19,0.75,4.92,Q9H2P0,ADNP,HUMAN
1914,12740,sp|O75608|LYPA1_HUMAN,1.51,75.82,2.02E+06,7.57E+06,7.75E+05,4.99E+06,1.08E+06,4.05E+06,1,3.75,0.38,2.47,0.53,2.01,4.79E+06,2.88E+06,2.57E+06,1,0.6,0.54,1.87,17,3,3,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,24670,Acyl-protein thioesterase 1 OS=Homo sapiens GN=LYPLA1 PE=1 SV=1,0.72,2.61,1.12,1.66,O75608,LYPA1,HUMAN
2139,12660,sp|O95372|LYPA2_HUMAN,6.79,65.03,2.46E+06,1.00E+07,1.52E+05,5.96E+05,3.67E+05,3.67E+05,1,4.09,0.06,0.24,0.15,0.15,6.25E+06,3.74E+05,3.67E+05,1,0.06,0.06,17.02,39,5,5,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(4) Silac label,24737,Acyl-protein thioesterase 2 OS=Homo sapiens GN=LYPLA2 PE=1 SV=1,0.42,16.11,1.02,16.70,O95372,LYPA2,HUMAN
