"","ensembl_transcript_short","UTR_ID","alternative_UTR","ensembl_transcript_id","gene_id","V1","V4","V5","V7","hgnc_symbol","ensembl_gene_id"
"18","ENST00000206542","utr_177150","","ENST00000206542.8","OSGEP-001","chr14",20454684,20455105,"-","OSGEP","ENSG00000092094"
"19","ENST00000210227","utr_125545","","ENST00000210227.4","PTBP3-001","chr9",112332844,112333029,"-","PTBP3","ENSG00000119314"
"20","ENST00000211379","utr_87139","","ENST00000211379.9","BAG6-001","chr6",31652424,31652705,"-","BAG6","ENSG00000204463"
"21","ENST00000211379","utr_87140","","ENST00000211379.9","BAG6-001","chr6",31651764,31651776,"-","BAG6","ENSG00000204463"
"22","ENST00000216038","utr_270772","","ENST00000216038.5","RTCB-001","chr22",32412157,32412255,"-","RTCB","ENSG00000100220"
"23","ENST00000216122","utr_270943","","ENST00000216122.8","MCM5-001","chr22",35400063,35400208,"+","MCM5","ENSG00000100297"
"24","ENST00000216122","utr_270944","","ENST00000216122.8","MCM5-001","chr22",35400431,35400438,"+","MCM5","ENSG00000100297"
"25","ENST00000216330","utr_180871","","ENST00000216330.7","FKBP3-001","chr14",45135259,45135319,"-","FKBP3","ENSG00000100442"
"26","ENST00000216330","utr_180872","","ENST00000216330.7","FKBP3-001","chr14",45134457,45134806,"-","FKBP3","ENSG00000100442"
"27","ENST00000216479","utr_184648","","ENST00000216479.7","AHSA1-001","chr14",77458030,77458189,"+","AHSA1","ENSG00000100591"
"28","ENST00000216774","utr_180218","","ENST00000216774.10","SRP54-201","chr14",34982898,34983215,"+","SRP54","ENSG00000100883"
"29","ENST00000216774","utr_180219","","ENST00000216774.10","SRP54-201","chr14",34996677,34996709,"+","SRP54","ENSG00000100883"
"30","ENST00000219313","utr_211245","","ENST00000219313.8","PSMD7-001","chr16",74296775,74296914,"+","PSMD7","ENSG00000103035"
"31","ENST00000219476","utr_200051","","ENST00000219476.7","TSC2-001","chr16",2047465,2048065,"+","TSC2","ENSG00000103197"
"32","ENST00000219476","utr_200052","","ENST00000219476.7","TSC2-001","chr16",2048587,2048615,"+","TSC2","ENSG00000103197"
"33","ENST00000220325","utr_190006","","ENST00000220325.8","EHD4-001","chr15",41972495,41972578,"-","EHD4","ENSG00000103966"
"34","ENST00000220751","utr_115914","","ENST00000220751.4","RIPK2-001","chr8",89757747,89758060,"+","RIPK2","ENSG00000104312"
"35","ENST00000220853","utr_117690","","ENST00000220853.7","EMC2-001","chr8",108443624,108443658,"+","EMC2","ENSG00000104412"
"36","ENST00000221114","utr_112413","","ENST00000221114.7","DCTN6-001","chr8",30156297,30156383,"+","DCTN6","ENSG00000104671"
"37","ENST00000221265","utr_249830","","ENST00000221265.7","PAF1-001","chr19",39390865,39391195,"-","PAF1","ENSG00000006712"
"38","ENST00000222388","utr_108908","","ENST00000222388.6","ABCF2-003","chr7",151227163,151227166,"-","ABCF2","ENSG00000033050"
"39","ENST00000222388","utr_108909","","ENST00000222388.6","ABCF2-003","chr7",151226459,151226500,"-","ABCF2","ENSG00000033050"
"40","ENST00000223023","utr_106452","","ENST00000223023.4","WASL-001","chr7",123748735,123749067,"-","WASL","ENSG00000106299"
"41","ENST00000224073","utr_128618","","ENST00000224073.5","EDF1-001","chr9",136866259,136866286,"-","EDF1","ENSG00000107223"
"42","ENST00000225519","utr_214215","","ENST00000225519.3","SHPK-001","chr17",3636220,3636322,"-","SHPK","ENSG00000197417"
"43","ENST00000225573","utr_224963","","ENST00000225573.4","PNPO-001","chr17",47941571,47941675,"+","PNPO","ENSG00000108439"
"44","ENST00000225603","utr_225107","","ENST00000225603.8","CBX1-001","chr17",48101268,48101521,"-","CBX1","ENSG00000108468"
"45","ENST00000225603","utr_225108","","ENST00000225603.8","CBX1-001","chr17",48077005,48077041,"-","CBX1","ENSG00000108468"
"46","ENST00000225614","utr_230161","alternative_3_UTR","ENST00000225614.6","GALK1-002","chr17",75765137,75765236,"-","GALK1","ENSG00000108479"
"47","ENST00000225729","utr_217916","","ENST00000225729.7","DRG2-001","chr17",18087886,18088023,"+","DRG2","ENSG00000108591"
"48","ENST00000227322","utr_153689","","ENST00000227322.7","ZPR1-001","chr11",116787991,116788050,"-","ZPR1","ENSG00000109917"
"49","ENST00000227667","utr_153717","","ENST00000227667.7","APOC3-001","chr11",116829892,116829940,"+","APOC3","ENSG00000110245"
"50","ENST00000227667","utr_153718","","ENST00000227667.7","APOC3-001","chr11",116830570,116830582,"+","APOC3","ENSG00000110245"
"51","ENST00000228284","utr_170014","","ENST00000228284.7","SART3-001","chr12",108561155,108561389,"-","SART3","ENSG00000075856"
"52","ENST00000229195","utr_167252","","ENST00000229195.7","CNOT2-201","chr12",70242994,70243480,"+","CNOT2","ENSG00000111596"
"53","ENST00000229195","utr_167253","","ENST00000229195.7","CNOT2-201","chr12",70278132,70278226,"+","CNOT2","ENSG00000111596"
"54","ENST00000229390","utr_171763","","ENST00000229390.7","SRSF9-001","chr12",120469610,120469793,"-","SRSF9","ENSG00000111786"
"55","ENST00000229854","utr_90399","","ENST00000229854.11","MCM3-006","chr6",52284675,52284751,"-","MCM3","ENSG00000112118"
"56","ENST00000230085","utr_92438","","ENST00000230085.12","SNX3-001","chr6",108260922,108261260,"-","SNX3","ENSG00000112335"
"57","ENST00000231238","utr_81939","","ENST00000231238.9","TTC1-001","chr5",160009113,160009193,"+","TTC1","ENSG00000113312"
"58","ENST00000231238","utr_81940","","ENST00000231238.9","TTC1-001","chr5",160010500,160010528,"+","TTC1","ENSG00000113312"
"59","ENST00000232607","utr_53790","","ENST00000232607.6","UMPS-001","chr3",124730366,124730471,"+","UMPS","ENSG00000114491"
"60","ENST00000233468","utr_24252","","ENST00000233468.4","SF3B6-001","chr2",24076230,24076443,"-","SF3B6","ENSG00000115128"
"61","ENST00000233668","utr_28906","","ENST00000233668.9","DOK1-001","chr2",74554086,74554754,"+","DOK1","ENSG00000115325"
"62","ENST00000234420","utr_26695","","ENST00000234420.9","MSH6-001","chr2",47783082,47783233,"+","MSH6","ENSG00000116062"
"63","ENST00000238616","utr_184288","","ENST00000238616.9","NEK9-001","chr14",75126922,75127080,"-","NEK9","ENSG00000119638"
"64","ENST00000239882","utr_174694","","ENST00000239882.6","ELF1-003","chr13",41019228,41019314,"-","ELF1","ENSG00000120690"
"65","ENST00000239882","utr_174695","","ENST00000239882.6","ELF1-003","chr13",40982055,40982282,"-","ELF1","ENSG00000120690"
"66","ENST00000243893","utr_263175","","ENST00000243893.10","UBE2C-005","chr20",45812658,45812695,"+","UBE2C","ENSG00000175063"
"67","ENST00000244137","utr_247141","","ENST00000244137.11","PEPD-001","chr19",33521761,33521794,"-","PEPD","ENSG00000124299"
"68","ENST00000244204","utr_28293","","ENST00000244204.10","NAGK-032","chr2",71068622,71068683,"+","NAGK","ENSG00000124357"
"69","ENST00000244711","utr_89607","","ENST00000244711.3","MEA1-001","chr6",43013814,43013968,"-","MEA1","ENSG00000124733"
"70","ENST00000245544","utr_229554","","ENST00000245544.8","NUP85-001","chr17",75205691,75205761,"+","NUP85","ENSG00000125450"
"71","ENST00000246015","utr_259175","","ENST00000246015.8","PSMF1-003","chr20",1118598,1118773,"+","PSMF1","ENSG00000125818"
"72","ENST00000246489","utr_187323","","ENST00000246489.11","KLC1-011","chr14",103629241,103629494,"+","KLC1","ENSG00000126214"
"73","ENST00000246489","utr_187324","","ENST00000246489.11","KLC1-011","chr14",103654564,103654564,"+","KLC1","ENSG00000126214"
"74","ENST00000247026","utr_219804","","ENST00000247026.9","NSRP1-001","chr17",30116781,30116843,"+","NSRP1","ENSG00000126653"
"75","ENST00000248450","utr_39328","","ENST00000248450.8","AAMP-001","chr2",218270087,218270257,"-","AAMP","ENSG00000127837"
"76","ENST00000249736","utr_192753","","ENST00000249736.11","SLTM-014","chr15",58933566,58933579,"-","SLTM","ENSG00000137776"
"77","ENST00000250113","utr_216018","","ENST00000250113.11","FXR2-001","chr17",7614533,7614867,"-","FXR2","ENSG00000129245"
"78","ENST00000251166","utr_201383","","ENST00000251166.8","CORO7-001","chr16",4416519,4416664,"-","CORO7","ENSG00000262246"
"79","ENST00000252512","utr_111075","","ENST00000252512.13","XPO7-001","chr8",21919671,21919770,"+","XPO7","ENSG00000130227"
"80","ENST00000252622","utr_239549","","ENST00000252622.14","LSM7-001","chr19",2328567,2328620,"-","LSM7","ENSG00000130332"
"81","ENST00000252818","utr_245536","","ENST00000252818.4","JUND-001","chr19",18281485,18281622,"-","JUND","ENSG00000130522"
"82","ENST00000253003","utr_264432","","ENST00000253003.6","ADRM1-201","chr20",62302896,62303049,"+","ADRM1","ENSG00000130706"
"83","ENST00000253003","utr_264433","","ENST00000253003.6","ADRM1-201","chr20",62303568,62303568,"+","ADRM1","ENSG00000130706"
"84","ENST00000253048","utr_252948","","ENST00000253048.9","ZC3H4-001","chr19",47113720,47113752,"-","ZC3H4","ENSG00000130749"
"85","ENST00000253048","utr_252949","","ENST00000253048.9","ZC3H4-001","chr19",47112585,47112589,"-","ZC3H4","ENSG00000130749"
"86","ENST00000253108","utr_242064","","ENST00000253108.8","EIF3G-001","chr19",10119860,10119902,"-","EIF3G","ENSG00000130811"
"87","ENST00000253363","utr_261642","","ENST00000253363.10","RBM39-002","chr20",35741941,35741951,"-","RBM39","ENSG00000131051"
"88","ENST00000253363","utr_261643","","ENST00000253363.10","RBM39-002","chr20",35740875,35740887,"-","RBM39","ENSG00000131051"
"89","ENST00000253778","utr_84029","","ENST00000253778.12","GFPT2-001","chr5",180353218,180353387,"-","GFPT2","ENSG00000131459"
"90","ENST00000253861","utr_107194","","ENST00000253861.4","EXOC4-001","chr7",133253073,133253101,"+","EXOC4","ENSG00000131558"
"91","ENST00000254029","utr_279987","","ENST00000254029.7","WDR44-001","chrX",118346109,118346503,"+","WDR44","ENSG00000131725"
"92","ENST00000256496","utr_42797","","ENST00000256496.7","ARL8B-001","chr3",5122220,5122465,"+","ARL8B","ENSG00000134108"
"93","ENST00000256578","utr_11665","","ENST00000256578.7","AMPD2-011","chr1",109620654,109621013,"+","AMPD2","ENSG00000116337"
"94","ENST00000258080","utr_28882","","ENST00000258080.7","HTRA2-001","chr2",74529377,74530006,"+","HTRA2","ENSG00000115317"
"95","ENST00000258100","utr_28449","","ENST00000258100.8","SMYD5-002","chr2",73214238,73214266,"+","SMYD5","ENSG00000135632"
"96","ENST00000258781","utr_100045","","ENST00000258781.10","CCM2-001","chr7",45000185,45000333,"+","CCM2","ENSG00000136280"
"97","ENST00000259238","utr_32563","","ENST00000259238.8","BIN1-004","chr2",127106944,127107288,"-","BIN1","ENSG00000136717"
"98","ENST00000259318","utr_125393","","ENST00000259318.7","AKAP2-003","chr9",110125501,110125596,"+","AKAP2","ENSG00000241978"
"99","ENST00000259318","utr_125394","","ENST00000259318.7","AKAP2-003","chr9",110136127,110136237,"+","AKAP2","ENSG00000241978"
"100","ENST00000260731","utr_134620","","ENST00000260731.4","KIF11-001","chr10",92593286,92593375,"+","KIF11","ENSG00000138160"
"101","ENST00000260970","utr_35208","","ENST00000260970.7","PPIG-001","chr2",169584340,169584490,"+","PPIG","ENSG00000138398"
"102","ENST00000260970","utr_35209","","ENST00000260970.7","PPIG-001","chr2",169603642,169603694,"+","PPIG","ENSG00000138398"
"103","ENST00000260970","utr_35210","","ENST00000260970.7","PPIG-001","chr2",169604026,169604041,"+","PPIG","ENSG00000138398"
"104","ENST00000261016","utr_38272","","ENST00000261016.10","ABI2-201","chr2",203328239,203328631,"+","ABI2","ENSG00000138443"
"105","ENST00000261016","utr_38273","","ENST00000261016.10","ABI2-201","chr2",203366881,203367044,"+","ABI2","ENSG00000138443"
"106","ENST00000261016","utr_38274","","ENST00000261016.10","ABI2-201","chr2",203375932,203376015,"+","ABI2","ENSG00000138443"
"107","ENST00000261017","utr_38276","","ENST00000261017.9","ABI2-002","chr2",203328280,203328514,"+","ABI2","ENSG00000138443"
"108","ENST00000261018","utr_38270","","ENST00000261018.11","ABI2-202","chr2",203328239,203328514,"+","ABI2","ENSG00000138443"
"109","ENST00000261192","utr_159696","","ENST00000261192.11","BCAT1-001","chr12",24948933,24949459,"-","BCAT1","ENSG00000060982"
"110","ENST00000261416","utr_75453","","ENST00000261416.11","HEXB-001","chr5",74685144,74685260,"+","HEXB","ENSG00000049860"
"111","ENST00000261443","utr_12500","alternative_5_UTR","ENST00000261443.9","CSDE1-003","chr1",114757925,114757974,"-","CSDE1","ENSG00000009307"
"112","ENST00000261600","utr_233023","","ENST00000261600.10","THOC1-001","chr18",268020,268027,"-","THOC1","ENSG00000079134"
"113","ENST00000261776","utr_210654","","ENST00000261776.9","VAC14-001","chr16",70800901,70801161,"-","VAC14","ENSG00000103043"
"114","ENST00000261893","utr_193121","","ENST00000261893.8","LACTB-001","chr15",63121800,63121871,"+","LACTB","ENSG00000103642"
"115","ENST00000262105","utr_113798","","ENST00000262105.6","MCM4-001","chr8",47960936,47961144,"+","MCM4","ENSG00000104738"
"116","ENST00000262812","utr_245853","","ENST00000262812.8","COPE-001","chr19",18919349,18919397,"-","COPE","ENSG00000105669"
"117","ENST00000262854","utr_276831","","ENST00000262854.10","HUWE1-201","chrX",53686588,53686729,"-","HUWE1","ENSG00000086758"
"118","ENST00000262854","utr_276832","","ENST00000262854.10","HUWE1-201","chrX",53686270,53686368,"-","HUWE1","ENSG00000086758"
"119","ENST00000262854","utr_276833","","ENST00000262854.10","HUWE1-201","chrX",53680049,53680186,"-","HUWE1","ENSG00000086758"
"120","ENST00000262854","utr_276834","","ENST00000262854.10","HUWE1-201","chrX",53654108,53654131,"-","HUWE1","ENSG00000086758"
"121","ENST00000262887","utr_251404","","ENST00000262887.9","XRCC1-001","chr19",43575459,43576006,"-","XRCC1","ENSG00000073050"
"122","ENST00000263205","utr_268422","","ENST00000263205.11","MED15-004","chr22",20507610,20507678,"+","MED15","ENSG00000099917"
"123","ENST00000263239","utr_32166","","ENST00000263239.6","DDX18-001","chr2",117814650,117814777,"+","DDX18","ENSG00000088205"
"124","ENST00000263277","utr_253127","","ENST00000263277.7","EHD2-001","chr19",47713343,47713538,"+","EHD2","ENSG00000024422"
"125","ENST00000263277","utr_253128","","ENST00000263277.7","EHD2-001","chr19",47716558,47716612,"+","EHD2","ENSG00000024422"
"126","ENST00000263918","utr_25745","","ENST00000263918.8","STRN-001","chr2",36966464,36966472,"-","STRN","ENSG00000115808"
"127","ENST00000264094","utr_28887","","ENST00000264094.7","LOXL3-001","chr2",74553876,74553935,"-","LOXL3","ENSG00000115318"
"128","ENST00000264094","utr_28888","","ENST00000264094.7","LOXL3-001","chr2",74552635,74552646,"-","LOXL3","ENSG00000115318"
"129","ENST00000264156","utr_33327","","ENST00000264156.2","MCM6-001","chr2",135876366,135876426,"-","MCM6","ENSG00000076003"
"130","ENST00000264170","utr_33387","","ENST00000264170.8","KYNU-001","chr2",142877498,142877736,"+","KYNU","ENSG00000115919"
"131","ENST00000264170","utr_33388","","ENST00000264170.8","KYNU-001","chr2",142885349,142885367,"+","KYNU","ENSG00000115919"
"132","ENST00000264274","utr_37829","","ENST00000264274.13","CASP8-201","chr2",201233443,201233554,"+","CASP8","ENSG00000064012"
"133","ENST00000264274","utr_37830","","ENST00000264274.13","CASP8-201","chr2",201234016,201234112,"+","CASP8","ENSG00000064012"
"134","ENST00000264274","utr_37831","","ENST00000264274.13","CASP8-201","chr2",201266461,201266486,"+","CASP8","ENSG00000064012"
"135","ENST00000264275","utr_37836","","ENST00000264275.9","CASP8-006","chr2",201233466,201233622,"+","CASP8","ENSG00000064012"
"136","ENST00000264275","utr_37837","","ENST00000264275.9","CASP8-006","chr2",201234016,201234112,"+","CASP8","ENSG00000064012"
"137","ENST00000264275","utr_37838","","ENST00000264275.9","CASP8-006","chr2",201266461,201266486,"+","CASP8","ENSG00000064012"
"138","ENST00000264552","utr_257694","","ENST00000264552.13","UBE2S-001","chr19",55407590,55407777,"-","UBE2S","ENSG00000108106"
"139","ENST00000264883","utr_65480","","ENST00000264883.7","NUP54-001","chr4",76148375,76148515,"-","NUP54","ENSG00000138750"
"140","ENST00000264993","utr_55007","","ENST00000264993.7","CDV3-001","chr3",133573730,133574044,"+","CDV3","ENSG00000091527"
"141","ENST00000265109","utr_72820","alternative_5_UTR","ENST00000265109.7","RAI14-002","chr5",34656237,34656475,"+","RAI14","ENSG00000039560"
"142","ENST00000265109","utr_72821","alternative_5_UTR","ENST00000265109.7","RAI14-002","chr5",34686872,34686919,"+","RAI14","ENSG00000039560"
"143","ENST00000265271","utr_80610","","ENST00000265271.6","RBM27-001","chr5",146203600,146203765,"+","RBM27","ENSG00000091009"
"144","ENST00000265433","utr_115936","","ENST00000265433.7","NBN-001","chr8",89984562,89984716,"-","NBN","ENSG00000104320"
"145","ENST00000266481","utr_160696","","ENST00000266481.10","DNM1L-005","chr12",32679303,32679363,"+","DNM1L","ENSG00000087470"
"146","ENST00000267229","utr_175937","","ENST00000267229.11","RBM26-002","chr13",79405775,79405788,"-","RBM26","ENSG00000139746"
"147","ENST00000267996","utr_193080","","ENST00000267996.11","TPM1-005","chr15",63042758,63042829,"+","TPM1","ENSG00000140416"
"148","ENST00000269192","utr_235176","","ENST00000269192.11","DTNA-008","chr18",34818381,34818647,"+","DTNA","ENSG00000134769"
"149","ENST00000269192","utr_235177","","ENST00000269192.11","DTNA-008","chr18",34820791,34820868,"+","DTNA","ENSG00000134769"
"150","ENST00000269701","utr_244328","","ENST00000269701.6","AKAP8-004","chr19",15379732,15379792,"-","AKAP8","ENSG00000105127"
"151","ENST00000270225","utr_252972","","ENST00000270225.11","SAE1-002","chr19",47130863,47130930,"+","SAE1","ENSG00000142230"
"152","ENST00000271469","utr_17270","","ENST00000271469.7","UAP1-201","chr1",162561506,162561777,"+","UAP1","ENSG00000117143"
"153","ENST00000271469","utr_17271","","ENST00000271469.7","UAP1-201","chr1",162566012,162566068,"+","UAP1","ENSG00000117143"
"154","ENST00000272252","utr_25955","","ENST00000272252.9","GALM-001","chr2",38665910,38666161,"+","GALM","ENSG00000143891"
"155","ENST00000273075","utr_40058","","ENST00000273075.8","DNPEP-001","chr2",219387795,219388015,"-","DNPEP","ENSG00000123992"
"156","ENST00000273435","utr_56568","","ENST00000273435.9","EIF2A-004","chr3",150546794,150546802,"+","EIF2A","ENSG00000144895"
"157","ENST00000276105","utr_277709","","ENST00000276105.3","SNX12-002","chrX",71068307,71068403,"-","SNX12","ENSG00000147164"
"158","ENST00000276416","utr_111488","","ENST00000276416.10","BIN3-001","chr8",22669052,22669120,"-","BIN3","ENSG00000147439"
"159","ENST00000276520","utr_113005","","ENST00000276520.12","TACC1-003","chr8",38787263,38787582,"+","TACC1","ENSG00000147526"
"160","ENST00000278823","utr_145625","","ENST00000278823.6","MTA2-001","chr11",62601451,62601840,"-","MTA2","ENSG00000149480"
"161","ENST00000279230","utr_146391","","ENST00000279230.10","PLCB3-001","chr11",64251523,64251649,"+","PLCB3","ENSG00000149782"
"162","ENST00000279281","utr_146977","","ENST00000279281.7","VPS51-001","chr11",65096159,65096250,"+","VPS51","ENSG00000149823"
"163","ENST00000280096","utr_33359","","ENST00000280096.5","HNMT-008","chr2",137964473,137964491,"+","HNMT","ENSG00000150540"
"164","ENST00000280097","utr_33357","","ENST00000280097.4","HNMT-001","chr2",137964310,137964491,"+","HNMT","ENSG00000150540"
"165","ENST00000281172","utr_158997","","ENST00000281172.9","EPS8-001","chr12",15789161,15789576,"-","EPS8","ENSG00000151491"
"166","ENST00000281172","utr_158998","","ENST00000281172.9","EPS8-001","chr12",15682952,15682972,"-","EPS8","ENSG00000151491"
"167","ENST00000281455","utr_71383","","ENST00000281455.6","ACSL1-001","chr4",184825916,184826094,"-","ACSL1","ENSG00000151726"
"168","ENST00000281455","utr_71384","","ENST00000281455.6","ACSL1-001","chr4",184803515,184803546,"-","ACSL1","ENSG00000151726"
"169","ENST00000282441","utr_152238","","ENST00000282441.9","YAP1-002","chr11",102110461,102110848,"+","YAP1","ENSG00000137693"
"170","ENST00000282486","utr_56716","","ENST00000282486.10","MBNL1-201","chr3",152268040,152269092,"+","MBNL1","ENSG00000152601"
"171","ENST00000282486","utr_56717","","ENST00000282486.10","MBNL1-201","chr3",152299405,152300193,"+","MBNL1","ENSG00000152601"
"172","ENST00000282488","utr_56712","","ENST00000282488.11","MBNL1-202","chr3",152268040,152269092,"+","MBNL1","ENSG00000152601"
"173","ENST00000282488","utr_56713","","ENST00000282488.11","MBNL1-202","chr3",152299405,152300193,"+","MBNL1","ENSG00000152601"
"174","ENST00000282574","utr_28117","","ENST00000282574.8","TIA1-006","chr2",70248431,70248580,"-","TIA1","ENSG00000116001"
"175","ENST00000283365","utr_235102","","ENST00000283365.13","DTNA-201","chr18",34493290,34493514,"+","DTNA","ENSG00000134769"
"176","ENST00000283365","utr_235103","","ENST00000283365.13","DTNA-201","chr18",34679468,34679592,"+","DTNA","ENSG00000134769"
"177","ENST00000283365","utr_235104","","ENST00000283365.13","DTNA-201","chr18",34755976,34755976,"+","DTNA","ENSG00000134769"
"178","ENST00000284563","utr_21480","","ENST00000284563.7","ENAH-002","chr1",225652691,225652716,"-","ENAH","ENSG00000154380"
"179","ENST00000286175","utr_37660","","ENST00000286175.12","PPIL3-001","chr2",200888956,200889269,"-","PPIL3","ENSG00000240344"
"180","ENST00000286175","utr_37661","","ENST00000286175.12","PPIL3-001","chr2",200887616,200887685,"-","PPIL3","ENSG00000240344"
"181","ENST00000286621","utr_133574","","ENST00000286621.6","ADK-001","chr10",74151229,74151278,"+","ADK","ENSG00000156110"
"182","ENST00000286648","utr_65029","","ENST00000286648.9","DCK-001","chr4",70993439,70993835,"+","DCK","ENSG00000156136"
"183","ENST00000287706","utr_202863","","ENST00000287706.7","NTAN1-001","chr16",15055972,15056064,"-","NTAN1","ENSG00000157045"
"184","ENST00000287844","utr_108911","","ENST00000287844.6","ABCF2-001","chr7",151227163,151227230,"-","ABCF2","ENSG00000033050"
"185","ENST00000287844","utr_108912","","ENST00000287844.6","ABCF2-001","chr7",151226459,151226500,"-","ABCF2","ENSG00000033050"
"186","ENST00000287912","utr_109274","","ENST00000287912.7","RBM33-008","chr7",155644451,155644876,"+","RBM33","ENSG00000184863"
"187","ENST00000288398","utr_193055","","ENST00000288398.10","TPM1-001","chr15",63042632,63042829,"+","TPM1","ENSG00000140416"
"188","ENST00000290216","utr_224902","","ENST00000290216.13","SCRN2-001","chr17",47841208,47841333,"-","SCRN2","ENSG00000141295"
"189","ENST00000291386","utr_530","","ENST00000291386.3","SSU72-001","chr1",1574558,1574869,"-","SSU72","ENSG00000160075"
"190","ENST00000291552","utr_267069","","ENST00000291552.8","U2AF1-001","chr21",43107495,43107587,"-","U2AF1","ENSG00000160201"
"191","ENST00000292431","utr_243723","alternative_5_UTR","ENST00000292431.4","NACC1-001","chr19",13118337,13118454,"+","NACC1","ENSG00000160877"
"192","ENST00000292431","utr_243724","alternative_5_UTR","ENST00000292431.4","NACC1-001","chr19",13135200,13135207,"+","NACC1","ENSG00000160877"
"193","ENST00000292733","utr_268420","","ENST00000292733.11","MED15-001","chr22",20507602,20507678,"+","MED15","ENSG00000099917"
"194","ENST00000292808","utr_58817","","ENST00000292808.5","ABCF3-002","chr3",184186174,184186207,"+","ABCF3","ENSG00000161204"
"195","ENST00000293362","utr_223134","","ENST00000293362.7","PSME3-002","chr17",42833471,42833631,"+","PSME3","ENSG00000131467"
"196","ENST00000293618","utr_162801","","ENST00000293618.12","LARP4-201","chr12",50400809,50401010,"+","LARP4","ENSG00000161813"
"197","ENST00000294742","utr_18716","","ENST00000294742.6","ARPC5-002","chr1",183635660,183635757,"-","ARPC5","ENSG00000162704"
"198","ENST00000295685","utr_39313","","ENST00000295685.14","ARPC2-001","chr2",218217210,218217470,"+","ARPC2","ENSG00000163466"
"199","ENST00000295851","utr_38268","","ENST00000295851.9","ABI2-001","chr2",203328219,203328514,"+","ABI2","ENSG00000138443"
"200","ENST00000295899","utr_50775","","ENST00000295899.9","THOC7-001","chr3",63863791,63863903,"-","THOC7","ENSG00000163634"
"201","ENST00000296503","utr_70861","","ENST00000296503.9","HMGB2-001","chr4",173334272,173335125,"-","HMGB2","ENSG00000164104"
"202","ENST00000296503","utr_70862","","ENST00000296503.9","HMGB2-001","chr4",173333650,173333669,"-","HMGB2","ENSG00000164104"
"203","ENST00000296543","utr_69078","","ENST00000296543.9","NAA15-001","chr4",139301455,139301777,"+","NAA15","ENSG00000164134"
"204","ENST00000296577","utr_69450","","ENST00000296577.8","ABCE1-001","chr4",145097932,145098419,"+","ABCE1","ENSG00000164163"
"205","ENST00000296577","utr_69451","","ENST00000296577.8","ABCE1-001","chr4",145104386,145104412,"+","ABCE1","ENSG00000164163"
"206","ENST00000296666","utr_78065","","ENST00000296666.12","PRRC1-001","chr5",127517609,127517776,"+","PRRC1","ENSG00000164244"
"207","ENST00000296666","utr_78066","","ENST00000296666.12","PRRC1-001","chr5",127523460,127523479,"+","PRRC1","ENSG00000164244"
"208","ENST00000297258","utr_115453","","ENST00000297258.10","FABP5-001","chr8",81280363,81280595,"+","FABP5","ENSG00000164687"
"209","ENST00000297338","utr_117935","","ENST00000297338.6","RAD21-001","chr8",116874611,116874866,"-","RAD21","ENSG00000164754"
"210","ENST00000297338","utr_117936","","ENST00000297338.6","RAD21-001","chr8",116866730,116866761,"-","RAD21","ENSG00000164754"
